sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00125	-0.074482	-0.099134	-0.047276	-0.033884	-0.001332	0.002228	-0.002634	0.000267	-0.003845	-0.000952
HG00126	-0.078514	-0.097198	-0.062146	-0.036996	-0.002004	0.003050	0.001243	0.001249	0.001048	-0.002725
HG00127	-0.081854	-0.088048	-0.024750	-0.051426	-0.002368	-0.000780	0.001874	0.000679	-0.000901	0.003119
HG00128	-0.074496	-0.097318	-0.034304	-0.032637	-0.000454	0.004205	0.005996	-0.002635	0.001981	-0.004100
HG00129	-0.082846	-0.100351	-0.031169	-0.005927	-0.000233	-0.002860	0.004864	-0.001627	0.002178	0.003081
HG00130	-0.071819	-0.079986	-0.025792	-0.034367	-0.002715	-0.004227	-0.000415	-0.001620	0.003006	0.002898
HG00131	-0.067678	-0.086115	-0.040732	-0.051789	0.000805	-0.000623	0.001446	0.004276	-0.000314	0.003131
HG00132	-0.071983	-0.089172	-0.047906	-0.040063	-0.000397	-0.000542	0.000028	-0.000595	-0.001711	-0.000417
HG00133	-0.070375	-0.090875	-0.051166	-0.047097	0.003316	-0.006678	0.001370	-0.002038	0.000621	0.001996
HG00136	-0.067124	-0.095130	-0.034286	-0.022634	-0.002249	0.001462	0.003512	-0.002347	0.000091	0.000892
HG00137	-0.079551	-0.096314	-0.039509	-0.037019	0.001463	-0.003656	0.000482	-0.002000	-0.000843	0.000553
HG00138	-0.066774	-0.105251	-0.021426	-0.019372	-0.002900	-0.001795	0.004334	-0.000525	0.004763	-0.001486
HG00139	-0.077237	-0.093681	-0.039826	-0.056772	0.003304	0.001941	0.004076	0.001021	-0.001530	0.001663
HG00140	-0.077181	-0.087998	-0.026430	-0.037889	-0.002693	-0.002736	0.002610	-0.002342	-0.004029	0.001546
HG00141	-0.078477	-0.091658	-0.036253	-0.050740	-0.001575	0.005200	-0.002272	-0.003748	-0.001478	-0.002386
HG00142	-0.062539	-0.080689	-0.028524	-0.054596	0.001123	-0.004013	-0.000427	-0.002557	-0.000220	0.000365
HG00143	-0.080331	-0.095653	-0.028564	-0.053085	-0.005786	-0.000100	-0.000139	0.000451	0.002149	0.000982
HG00145	-0.077196	-0.099110	-0.038950	-0.052776	-0.003889	0.000943	0.001738	-0.002747	0.001630	0.001869
HG00146	-0.073445	-0.101981	-0.028189	-0.056585	-0.001696	-0.000653	-0.000857	0.003360	0.001784	-0.002586
HG00148	-0.071923	-0.104931	-0.032481	-0.024913	0.000898	-0.002412	0.003588	-0.001617	0.001707	0.004440
HG00149	-0.055137	-0.086911	-0.043354	-0.052568	0.001926	0.007825	-0.003378	0.000836	0.001704	0.009268
HG00150	-0.069534	-0.083439	-0.029853	-0.041631	0.000393	-0.000993	0.003764	0.002091	0.002132	0.003314
HG00151	-0.078491	-0.102470	-0.022846	-0.034245	-0.002499	-0.002602	-0.004271	0.002662	0.002405	-0.003501
HG00154	-0.074612	-0.093429	-0.021969	-0.022915	-0.004627	-0.000286	0.001499	-0.004642	-0.001686	0.004173
HG00155	-0.073515	-0.104436	-0.041285	-0.030705	-0.002469	-0.000618	0.001891	0.001172	-0.001497	0.001205
HG00157	-0.075846	-0.096398	-0.028038	-0.048987	0.001527	0.001108	0.000483	-0.002913	-0.000863	-0.003232
HG00158	-0.072220	-0.082697	-0.039024	-0.026103	0.003834	0.000682	0.002966	-0.003106	-0.002002	-0.000575
HG00159	-0.072017	-0.099614	-0.022329	-0.043364	-0.001848	-0.002735	-0.004268	-0.001793	-0.000270	0.001036
HG00160	-0.075911	-0.112282	-0.036815	-0.031109	0.000721	-0.001524	0.001933	0.000266	-0.002183	0.002460
HG00171	-0.085183	-0.075553	-0.029510	-0.029123	-0.001831	-0.004482	-0.000022	0.002838	0.002368	-0.002176
HG00173	-0.074602	-0.068208	-0.033081	-0.049490	-0.004285	0.001784	-0.002775	-0.000977	-0.000333	-0.003727
HG00174	-0.069926	-0.092485	-0.022416	-0.044568	-0.000805	-0.000023	-0.000568	-0.000453	-0.002755	-0.003872
HG00176	-0.079454	-0.078267	-0.032162	-0.033735	-0.000434	-0.005640	-0.001429	0.001155	-0.001942	-0.000971
HG00177	-0.077374	-0.080670	-0.025394	-0.038936	-0.003513	-0.000288	-0.002259	0.001489	-0.002811	0.000004
HG00178	-0.075771	-0.095388	-0.021716	-0.009482	-0.002629	0.001780	0.004138	0.000224	0.002007	-0.002128
HG00179	-0.077669	-0.083337	-0.019648	-0.034013	-0.001863	-0.001648	-0.000851	0.001323	-0.001785	-0.000880
HG00180	-0.073519	-0.097663	-0.014315	-0.029747	-0.003419	-0.003720	-0.001095	0.002292	-0.003124	0.002163
HG00181	-0.065215	-0.080582	-0.038318	-0.035231	-0.002166	0.003928	-0.000655	0.001586	0.003941	0.000269
HG00182	-0.072916	-0.063572	-0.028173	-0.020717	-0.000045	-0.000776	-0.000115	-0.000430	-0.000513	-0.000986
HG00183	-0.083797	-0.058923	-0.041959	-0.001452	0.000135	-0.003307	0.000255	0.001712	0.001596	0.000865
HG00185	-0.079265	-0.068349	-0.053222	-0.032833	0.000690	-0.003152	0.000208	0.003561	0.000165	-0.002140
HG00186	-0.082727	-0.089607	-0.037887	-0.032970	-0.002619	-0.001492	-0.002580	-0.000745	-0.000473	-0.003056
HG00187	-0.073009	-0.083610	-0.037114	0.001610	-0.002289	0.001064	0.002282	0.002481	0.004719	-0.000577
HG00188	-0.073529	-0.086176	-0.028365	-0.045014	-0.000845	-0.000152	-0.000152	-0.001142	-0.001385	-0.005041
HG00189	-0.070329	-0.093186	-0.034882	-0.035259	0.000406	-0.002525	0.003968	0.000616	0.002941	-0.000114
HG00190	-0.072810	-0.098530	-0.030937	-0.016558	-0.004469	-0.004094	0.003452	0.000621	0.003088	0.002511
HG00231	-0.073858	-0.087856	-0.026171	-0.037462	-0.002994	-0.001337	0.002140	0.002648	-0.000784	-0.000411
HG00232	-0.071773	-0.103065	-0.030057	-0.036866	-0.001219	-0.002581	0.000477	-0.000836	0.001577	-0.001552
HG00233	-0.071583	-0.093477	-0.036571	-0.042976	-0.001274	0.001656	0.000219	-0.003417	-0.002615	-0.003670
HG00234	-0.066363	-0.094618	-0.015848	-0.029274	0.001660	0.004409	-0.002115	0.001622	-0.001914	-0.001754
HG00235	-0.064728	-0.093736	-0.013492	-0.051328	-0.003566	0.001094	-0.002172	0.001605	0.001167	-0.003481
HG00236	-0.071463	-0.093742	-0.036479	-0.045554	-0.001371	-0.000212	0.005010	-0.001614	0.002426	-0.005682
HG00237	-0.074499	-0.100719	-0.045071	-0.057260	0.000406	0.000830	0.002046	-0.002881	-0.002854	0.004373
HG00238	-0.070068	-0.097239	-0.024638	-0.042227	-0.002115	-0.000298	0.002140	-0.001211	0.000470	0.002916
HG00239	-0.070932	-0.096101	-0.012927	-0.043539	-0.000168	-0.001006	0.002742	-0.002016	0.006063	-0.002286
HG00240	-0.079201	-0.098038	-0.034856	-0.054358	-0.001965	0.002112	0.000267	0.000545	-0.002608	0.001527
HG00242	-0.083846	-0.090426	-0.016003	-0.002252	-0.000152	0.001915	0.003058	-0.000312	0.003357	0.001502
HG00243	-0.078822	-0.089225	-0.026253	-0.024692	-0.005626	-0.000727	0.001469	-0.002218	-0.000433	0.001720
HG00244	-0.072067	-0.089751	-0.025985	-0.055351	-0.000239	0.001396	-0.000262	-0.000587	-0.000146	-0.003454
HG00245	-0.072506	-0.070882	-0.034237	-0.033302	-0.004785	0.001394	-0.001440	0.000053	0.002955	-0.004160
HG00246	-0.075310	-0.079383	-0.030357	-0.034346	0.003727	-0.001737	0.000580	0.001252	0.005251	0.001645
HG00250	-0.076411	-0.089756	-0.035850	-0.041604	-0.001964	-0.000620	-0.000209	-0.000448	0.001626	-0.003189
HG00251	-0.071428	-0.088945	-0.023577	-0.048590	-0.003555	0.001477	0.003947	-0.000263	-0.000893	-0.002982
HG00252	-0.084393	-0.092179	-0.033976	-0.053376	-0.006228	0.003557	-0.003995	-0.000919	0.002566	-0.003026
HG00253	-0.075439	-0.099132	-0.021261	-0.029321	-0.003250	-0.005935	0.003077	0.000304	0.003601	0.000480
HG00254	-0.079033	-0.095659	-0.047617	-0.053340	-0.001400	0.003392	0.000167	-0.005456	0.000057	-0.001324
HG00255	-0.076908	-0.090331	-0.042034	-0.037048	-0.000338	-0.003259	0.003241	0.002289	0.001916	-0.003638
HG00256	-0.066296	-0.089912	-0.032970	-0.049081	0.004484	-0.002163	0.007701	-0.002695	-0.000836	0.001471
HG00257	-0.069768	-0.103464	-0.041546	-0.034068	-0.004445	0.001429	-0.002332	0.001905	0.002746	-0.001417
HG00258	-0.080876	-0.093109	-0.041314	-0.024991	-0.002552	-0.004063	0.002153	0.000756	-0.002923	0.002229
HG00259	-0.077552	-0.098040	-0.023666	-0.041169	-0.005964	-0.006882	0.001947	0.001294	0.000135	-0.000651
HG00260	-0.072462	-0.102970	-0.029002	-0.042611	-0.001859	-0.003409	-0.001748	0.000554	0.003718	-0.001695
HG00261	-0.084349	-0.105715	-0.038215	-0.009640	0.000284	-0.000841	0.005220	0.004570	-0.001787	0.001193
HG00262	-0.073932	-0.080546	-0.044350	-0.046957	-0.001159	-0.002359	-0.000323	-0.002287	0.002283	-0.003069
HG00263	-0.072330	-0.097973	-0.030220	-0.040585	-0.000178	-0.007374	0.005865	-0.000206	0.004513	-0.004662
HG00264	-0.073050	-0.091621	-0.028500	-0.053986	-0.000212	-0.001403	0.003121	-0.000135	0.004206	0.001584
HG00265	-0.078001	-0.096210	-0.035528	-0.047712	0.000382	-0.002956	-0.000078	-0.001043	0.000508	0.000702
HG00266	-0.076772	-0.056384	-0.022988	-0.029735	0.000164	-0.000049	0.000122	0.005178	0.000754	0.003713
HG00267	-0.077623	-0.070727	-0.036296	-0.037137	-0.001345	0.000968	-0.000207	-0.000039	0.002239	0.000724
HG00268	-0.077726	-0.092608	-0.032644	-0.029440	-0.000168	-0.000863	0.002651	0.001231	0.001719	0.000657
HG00269	-0.085211	-0.072074	-0.021568	-0.045311	-0.002318	-0.003777	-0.002351	0.002923	-0.000193	-0.001400
HG00271	-0.072386	-0.086816	-0.044467	-0.052870	-0.003384	0.001509	0.004410	0.002427	0.000433	-0.002330
HG00272	-0.080100	-0.076719	-0.027392	-0.011087	-0.003726	-0.002680	0.001543	0.001128	0.001323	0.000609
HG00273	-0.075504	-0.087133	-0.043674	-0.055345	-0.002618	0.003482	0.004922	-0.003733	-0.001085	-0.003631
HG00274	-0.081776	-0.067901	-0.037698	-0.041005	-0.001203	0.002071	0.000379	0.001535	-0.001520	-0.001213
HG00275	-0.070674	-0.073656	-0.025424	-0.043408	-0.001236	-0.002575	0.001163	0.001594	-0.000602	0.001830
HG00276	-0.074813	-0.064708	-0.015159	-0.019021	-0.002295	-0.002100	0.000274	0.002725	-0.000242	0.000257
HG00277	-0.071780	-0.094265	-0.026903	-0.041129	-0.004791	-0.000518	-0.001619	0.001677	0.001178	-0.005544
HG00278	-0.083334	-0.068355	-0.037455	-0.052974	-0.003198	-0.000292	-0.002038	0.001489	0.002865	-0.002109
HG00280	-0.078221	-0.062830	-0.037526	-0.008840	0.000548	-0.004604	-0.001657	0.002945	-0.000500	0.004554
HG00281	-0.079653	-0.072228	-0.027569	-0.025343	-0.001799	-0.004030	0.000078	0.005492	0.001716	-0.000893
HG00282	-0.068555	-0.079876	-0.029474	-0.046356	-0.003161	0.002078	0.001595	-0.000370	0.000085	-0.002924
HG00284	-0.085946	-0.068262	-0.036015	-0.049282	-0.005335	-0.000629	-0.000753	0.004021	0.002069	-0.000993
HG00285	-0.072936	-0.084220	-0.025929	-0.039875	-0.003548	-0.004559	-0.000737	-0.002813	-0.001198	-0.000203
HG00288	-0.080045	-0.082193	-0.034025	-0.043333	-0.000774	0.003353	-0.002805	0.000213	0.001073	-0.001865
HG00290	-0.067801	-0.078156	-0.021971	-0.047082	0.002159	-0.002482	-0.001090	-0.000293	-0.000512	0.001067
HG00304	-0.077416	-0.075445	-0.025283	-0.023871	-0.005269	-0.003782	0.001407	-0.000074	0.002679	-0.001979
HG00306	-0.071103	-0.080569	-0.027318	-0.053485	-0.002714	-0.002422	0.001422	0.000786	-0.001782	-0.002578
HG00308	-0.077682	-0.084801	-0.036822	-0.039694	-0.003953	-0.001832	0.000322	-0.001404	-0.001270	-0.002340
HG00309	-0.070367	-0.088156	-0.012868	-0.035638	-0.002030	-0.005980	-0.001137	-0.001109	0.000026	-0.005157
HG00310	-0.076792	-0.068747	-0.034177	-0.036829	0.000308	0.000241	-0.003414	0.003768	0.004337	-0.002994
HG00311	-0.076453	-0.090702	-0.032056	-0.031351	-0.002622	-0.000759	0.000954	0.000607	-0.000785	-0.002019
HG00313	-0.075417	-0.078379	-0.035068	-0.038696	-0.002214	-0.001539	0.002380	0.001147	0.005607	-0.002471
HG00315	-0.077264	-0.060420	-0.027441	-0.038864	-0.003383	0.001455	0.000343	-0.001557	-0.003168	0.000056
HG00318	-0.071153	-0.076773	-0.026593	-0.039932	-0.001952	-0.001234	-0.001726	-0.000079	0.000771	0.001173
HG00319	-0.077516	-0.071068	-0.035283	-0.061715	0.000528	-0.003429	0.000172	0.002917	-0.003157	0.000480
HG00320	-0.079509	-0.042958	-0.020765	-0.024290	-0.000554	-0.005338	0.001251	-0.000692	-0.002115	0.000843
HG00321	-0.084214	-0.074425	-0.032228	-0.023348	-0.002966	-0.001270	0.002355	-0.000049	0.002285	0.001670
HG00323	-0.077531	-0.080030	-0.030666	-0.023393	-0.002122	-0.001009	0.002692	-0.000064	0.003946	-0.003023
HG00324	-0.076531	-0.068110	-0.036520	-0.050770	-0.002498	0.004805	0.001828	-0.002268	-0.001722	-0.003654
HG00325	-0.077467	-0.078462	-0.033444	-0.033333	-0.002422	-0.002978	0.001449	0.000951	0.002369	-0.002676
HG00326	-0.079936	-0.069524	-0.029159	-0.027318	0.000254	0.003244	-0.001472	0.001070	-0.000154	0.001103
HG00327	-0.080653	-0.082536	-0.035615	-0.042494	-0.000909	0.004718	0.001558	0.001591	0.001141	-0.000596
HG00328	-0.078767	-0.084874	-0.038059	-0.019707	-0.005309	-0.000033	-0.001564	0.000273	-0.000852	-0.002008
HG00329	-0.082494	-0.070544	-0.036887	-0.012437	0.000663	-0.001910	-0.002065	0.002169	-0.001545	0.001269
HG00330	-0.078681	-0.089449	-0.027664	-0.029538	-0.001324	-0.004436	0.002855	-0.001066	0.000947	-0.003055
HG00331	-0.077107	-0.070509	-0.036728	-0.036448	-0.000353	-0.000199	0.003650	0.001332	0.003738	-0.001655
HG00332	-0.079839	-0.070905	-0.035414	-0.046212	-0.002548	-0.000141	-0.001179	0.001280	-0.000646	0.000352
HG00334	-0.078116	-0.088601	-0.036464	-0.047348	-0.002304	-0.004015	0.000937	0.002452	0.000682	-0.002473
HG00335	-0.077252	-0.092825	-0.038157	-0.027451	-0.000630	-0.003832	-0.001010	-0.000952	0.002391	0.002286
HG00336	-0.074205	-0.094750	-0.023509	-0.026367	-0.003553	-0.002993	0.002882	0.002616	0.001290	-0.000127
HG00337	-0.065748	-0.075775	-0.030511	-0.044016	-0.001913	-0.003224	0.001429	0.000014	0.003381	0.000472
HG00338	-0.068301	-0.070177	-0.029983	-0.045592	-0.002504	0.001068	-0.001715	-0.001360	-0.000147	0.000141
HG00339	-0.079811	-0.076613	-0.030521	-0.035102	-0.004019	0.005822	-0.000924	0.000741	0.005568	-0.002714
HG00341	-0.078107	-0.068582	-0.030197	0.001796	-0.002639	-0.003525	0.002632	0.000814	0.000057	0.000808
HG00342	-0.089085	-0.066598	-0.045723	-0.043073	-0.006392	-0.001334	-0.000033	0.001108	0.001430	-0.001930
HG00343	-0.065094	-0.089987	-0.022817	-0.053985	0.000375	0.000209	0.001734	0.000485	0.001062	-0.001203
HG00344	-0.074612	-0.082566	-0.033777	-0.051645	-0.001073	0.005450	0.001841	-0.004463	-0.003060	-0.000386
HG00345	-0.078081	-0.080266	-0.034001	-0.026788	-0.003024	0.002303	0.001172	-0.001964	0.002055	-0.002870
HG00346	-0.076136	-0.083403	-0.030843	-0.034087	-0.002697	-0.003136	-0.002028	0.002233	0.000380	0.000045
HG00349	-0.082396	-0.084214	-0.028195	-0.032648	-0.003399	-0.000592	-0.000458	0.002637	0.006550	-0.002852
HG00350	-0.074034	-0.103131	-0.030513	-0.051997	-0.002243	0.002277	-0.000238	0.002962	0.001182	-0.003234
HG00351	-0.079473	-0.060514	-0.022260	-0.040811	-0.001716	-0.005759	0.002897	-0.000559	0.000623	-0.002647
HG00353	-0.071181	-0.089055	-0.034560	-0.052071	-0.001164	-0.003535	-0.000006	0.000365	0.000875	-0.002221
HG00355	-0.076702	-0.076681	-0.020333	-0.050074	-0.005355	-0.003397	0.000243	0.000347	0.000531	-0.001046
HG00356	-0.069948	-0.085739	-0.031541	-0.053694	-0.001735	-0.000669	0.000192	0.000615	0.002454	0.001702
HG00357	-0.086698	-0.070753	-0.028381	-0.051589	-0.004067	-0.000739	0.000246	0.001842	-0.000176	-0.000297
HG00358	-0.074791	-0.088714	-0.031696	-0.054941	-0.001842	-0.010461	-0.000717	0.001664	0.001304	-0.001279
HG00360	-0.075734	-0.065531	-0.021909	-0.015244	-0.002107	0.003620	0.000470	-0.000425	0.002702	-0.003156
HG00361	-0.079561	-0.081651	-0.031797	-0.036829	0.004938	0.003986	-0.007603	0.005094	-0.004269	-0.005036
HG00362	-0.076190	-0.073358	-0.022833	-0.037384	-0.000401	0.001767	0.000370	-0.000427	0.001077	-0.001448
HG00364	-0.083404	-0.078988	-0.031563	-0.040411	-0.002097	-0.007658	-0.001626	0.003279	0.000179	-0.002994
HG00365	-0.084113	-0.066507	-0.038609	-0.039575	-0.004198	-0.002128	-0.000014	0.000056	0.001667	-0.003204
HG00366	-0.074690	-0.089730	-0.025269	-0.008482	-0.003544	-0.003465	0.004509	0.005013	0.001896	0.000520
HG00367	-0.079330	-0.064486	-0.042481	-0.032606	0.000751	-0.002922	-0.001658	0.004504	-0.002208	-0.001318
HG00368	-0.073712	-0.092431	-0.020586	-0.029567	-0.002038	0.000802	0.000100	0.000981	0.000027	-0.000965
HG00369	-0.077229	-0.082266	-0.031543	-0.053534	-0.001897	-0.003477	0.000062	-0.000017	-0.001002	-0.001401
HG00371	-0.080945	-0.078326	-0.023430	-0.042717	-0.005954	0.000370	-0.001038	0.002635	0.006359	-0.004541
HG00372	-0.078779	-0.088990	-0.033029	-0.049968	-0.002354	-0.003414	0.000632	-0.000936	-0.002445	0.001186
HG00373	-0.084140	-0.078060	-0.024664	-0.041624	-0.002380	0.001927	0.000159	-0.001750	0.000687	-0.003038
HG00375	-0.083951	-0.077408	-0.027112	-0.017235	-0.003152	-0.004192	0.001003	0.000602	0.002854	0.000310
HG00376	-0.078993	-0.087517	-0.038782	-0.052538	-0.001359	0.000412	0.002380	-0.000455	0.000967	0.000322
HG00378	-0.070857	-0.076551	-0.032143	-0.008412	-0.002046	-0.001589	0.001555	0.002627	0.003927	-0.002018
HG00379	-0.074081	-0.060749	-0.031315	-0.013420	-0.000030	0.002217	0.003376	0.001311	0.001023	-0.002033
HG00380	-0.085912	-0.072825	-0.028292	-0.021580	-0.002344	0.002901	0.001417	-0.002769	-0.002184	-0.003503
HG00381	-0.084334	-0.086164	-0.028073	0.001669	0.002257	-0.000438	0.004501	-0.005619	0.000007	0.004868
HG00382	-0.074188	-0.087676	-0.030520	-0.042692	-0.003817	0.001715	0.004030	0.001341	-0.000648	0.000362
HG00383	-0.076778	-0.067961	-0.045408	-0.049608	-0.002800	-0.002373	-0.005846	0.000788	-0.001690	0.003177
HG00384	-0.079802	-0.089560	-0.029011	-0.044003	-0.002235	0.000279	-0.002457	-0.000819	0.002222	-0.003105
HG00403	-0.096758	0.118227	-0.010031	-0.038431	-0.000429	0.003482	-0.003327	0.003132	-0.003318	-0.000180
HG00404	-0.096836	0.150656	-0.021922	-0.037643	0.002225	-0.000427	-0.003191	0.002607	-0.001087	-0.000770
HG00406	-0.097864	0.113241	-0.020405	0.010738	0.001916	0.001304	0.003697	0.000617	0.000430	-0.000815
HG00407	-0.098611	0.123279	-0.011188	-0.015989	0.000063	-0.005917	-0.000040	-0.000050	-0.000976	-0.001149
HG00409	-0.094817	0.148111	-0.024465	-0.037607	-0.001323	0.003901	0.004307	-0.002596	0.004281	0.002730
HG00410	-0.092112	0.127718	-0.016077	-0.001518	-0.004276	0.003405	0.004596	0.003437	0.001836	0.004564
HG00419	-0.101549	0.134025	-0.010617	-0.034247	-0.003095	-0.000138	0.000405	0.002734	-0.000207	0.002816
HG00421	-0.101518	0.138717	-0.029909	-0.036885	0.002073	-0.002499	-0.001385	0.000589	-0.008821	-0.000642
HG00422	-0.100556	0.131232	-0.018773	0.010244	0.004432	0.004854	0.002620	-0.002942	-0.003103	0.000148
HG00428	-0.099499	0.122392	-0.005555	-0.038183	-0.000197	0.003041	-0.002258	0.003368	-0.003225	0.001453
HG00436	-0.097525	0.112608	-0.012197	-0.010284	-0.000871	-0.005048	0.000481	0.000108	0.000389	0.000612
HG00437	-0.103830	0.133930	-0.026786	-0.031173	-0.000478	-0.002639	-0.001721	0.001447	-0.002109	-0.000835
HG00442	-0.098812	0.120706	-0.023990	-0.029970	-0.001797	-0.004151	-0.002284	-0.000400	-0.005077	-0.001611
HG00443	-0.105018	0.131573	-0.018704	-0.030979	0.000798	0.001088	0.003180	0.002398	-0.001012	0.000460
HG00445	-0.093020	0.138688	-0.023220	-0.029786	-0.000477	-0.000707	-0.005417	-0.001262	-0.003158	0.000331
HG00446	-0.101413	0.132244	-0.021169	-0.035397	0.001087	-0.002045	0.006351	-0.003095	0.002711	0.002027
HG00448	-0.096199	0.127467	-0.028577	-0.022604	-0.001069	0.003886	-0.002215	-0.000631	-0.000892	-0.002203
HG00449	-0.100920	0.129813	-0.018030	-0.008183	0.001590	0.005381	-0.000647	-0.000353	-0.002691	-0.000711
HG00451	-0.103370	0.138045	-0.019973	-0.037362	-0.000804	-0.002596	0.000276	-0.000542	0.000102	-0.002221
HG00452	-0.099377	0.141852	-0.021413	-0.041530	-0.001477	0.001575	-0.003464	-0.000273	-0.001577	0.002788
HG00457	-0.097596	0.119782	-0.002575	-0.028287	0.001510	-0.004163	0.000076	0.000443	0.001779	0.001073
HG00458	-0.094751	0.134491	-0.015885	-0.044840	-0.000685	-0.005071	-0.000140	0.001354	0.002013	-0.002983
HG00463	-0.094310	0.141971	-0.019884	-0.036547	0.000129	0.004750	-0.000188	-0.000615	0.003640	-0.000211
HG00464	-0.104819	0.122420	-0.021543	-0.022540	-0.001585	-0.002381	0.001821	-0.000387	0.004927	0.002965
HG00472	-0.100546	0.134727	-0.027197	-0.004628	-0.000239	-0.000912	0.004460	0.001185	0.000151	0.002777
HG00473	-0.099508	0.130285	-0.007702	-0.025698	0.000896	-0.007562	-0.000834	-0.000259	-0.000412	-0.005550
HG00475	-0.095201	0.128147	-0.012206	-0.028090	-0.000072	0.004034	0.004118	-0.005328	0.001919	0.001539
HG00476	-0.101187	0.122577	-0.028835	-0.009724	0.000170	-0.003688	0.001405	0.000909	-0.001500	0.000265
HG00478	-0.103781	0.137852	-0.030717	-0.026344	0.000790	0.001016	-0.002400	-0.000122	0.003901	-0.000039
HG00479	-0.100298	0.135470	-0.021983	-0.033435	-0.002806	-0.000531	-0.000800	-0.000631	0.006679	-0.000188
HG00500	-0.101034	0.142398	-0.021508	-0.007016	-0.004474	-0.000167	0.001431	0.001834	0.001409	-0.000634
HG00513	-0.098568	0.122507	-0.003507	-0.040046	-0.001805	-0.000755	0.002793	-0.002660	0.001039	0.005139
HG00524	-0.089776	0.122633	-0.014404	-0.015228	0.002102	-0.002203	-0.000266	0.000648	0.000457	0.001363
HG00525	-0.100420	0.132543	-0.019071	-0.034481	-0.001585	0.001348	-0.003015	0.000864	-0.002862	0.002657
HG00530	-0.100946	0.137779	-0.019787	-0.033398	-0.000310	-0.002236	0.003782	0.002509	-0.001025	-0.000294
HG00531	-0.092496	0.136922	-0.023244	-0.034850	-0.001479	-0.003213	0.000357	-0.001774	0.000312	-0.001106
HG00533	-0.097696	0.126345	-0.027617	-0.032866	0.001909	0.004011	0.001812	-0.000154	0.001555	0.000088
HG00534	-0.097775	0.128545	-0.019154	-0.030413	-0.003100	0.000049	-0.001723	-0.002532	0.000687	-0.000860
HG00536	-0.098727	0.125305	-0.019813	-0.010237	-0.000939	0.000136	-0.000479	-0.001824	0.001326	0.001870
