sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00122	-0.074280	-0.096962	-0.035811	-0.045758	-0.002833	0.003972	-0.001553	-0.000620	0.003640	-0.001376
HG00123	-0.072949	-0.102477	-0.053530	-0.050427	-0.001905	0.001840	-0.000626	0.002581	0.001564	-0.001370
HG00125	-0.071154	-0.096046	-0.051084	-0.031259	-0.001098	0.000852	-0.000863	0.000473	-0.003608	0.000346
HG00126	-0.076974	-0.095716	-0.063308	-0.030136	0.000115	0.003435	0.000864	-0.000144	-0.000276	-0.000842
HG00127	-0.082339	-0.084641	-0.031781	-0.043565	-0.000464	-0.001881	0.001932	0.000310	-0.000806	0.002906
HG00128	-0.073231	-0.095972	-0.036785	-0.027698	-0.001368	0.004779	0.002665	0.004944	0.004665	-0.002749
HG00129	-0.082667	-0.104401	-0.035360	-0.000720	-0.000047	-0.003204	0.001948	0.002850	0.002246	0.003411
HG00130	-0.068677	-0.082726	-0.030442	-0.030602	-0.003683	-0.004298	-0.002208	-0.001657	0.003049	0.003020
HG00131	-0.066151	-0.085710	-0.046537	-0.049395	-0.000824	0.000450	0.003654	-0.002392	-0.001258	0.003887
HG00132	-0.068661	-0.088403	-0.052091	-0.035823	0.001490	-0.000345	0.001084	0.002662	-0.000077	-0.000104
HG00133	-0.069657	-0.087289	-0.060036	-0.041842	0.004021	-0.007172	0.002199	0.000103	0.002398	0.001403
HG00136	-0.067041	-0.099289	-0.040826	-0.020376	-0.001689	0.002051	0.000541	0.002480	0.003020	0.001540
HG00137	-0.080206	-0.096489	-0.044618	-0.032050	0.001204	-0.003846	0.000505	0.001652	-0.000891	0.001066
HG00138	-0.066990	-0.107197	-0.027551	-0.021772	-0.003069	-0.004216	0.004485	0.000824	0.007037	-0.002371
HG00139	-0.076913	-0.093473	-0.047906	-0.052682	0.004500	0.002591	0.003256	0.001660	-0.001190	0.003558
HG00140	-0.075951	-0.087176	-0.028835	-0.036285	-0.002922	-0.001906	0.001511	0.002813	-0.004212	0.002720
HG00141	-0.081855	-0.093996	-0.040932	-0.049373	-0.002873	0.003410	-0.002421	0.001637	-0.000151	-0.003407
HG00142	-0.063821	-0.082178	-0.034603	-0.054503	0.001358	-0.003303	0.000197	0.001899	0.002345	0.000364
HG00143	-0.079838	-0.093737	-0.028145	-0.050673	-0.006383	-0.002174	0.001298	-0.001284	0.002721	-0.000439
HG00145	-0.074725	-0.099573	-0.043058	-0.048642	-0.004660	0.003259	0.000040	0.000960	0.001972	0.002961
HG00146	-0.074733	-0.103483	-0.036540	-0.054115	-0.001569	-0.001686	0.000539	-0.003700	-0.000016	-0.003676
HG00148	-0.072736	-0.106400	-0.039949	-0.022235	0.001645	-0.002939	0.001312	0.001518	0.004393	0.004511
HG00149	-0.057879	-0.083997	-0.044043	-0.047907	0.002933	0.007339	-0.001373	-0.001745	0.001868	0.006008
HG00150	-0.068873	-0.087758	-0.033896	-0.041421	-0.000511	0.000022	0.004080	-0.000176	0.001399	0.003487
HG00151	-0.077309	-0.102488	-0.025759	-0.034063	-0.001309	-0.002408	-0.000917	-0.003879	0.000732	-0.004771
HG00154	-0.076052	-0.094742	-0.027781	-0.021072	-0.005561	0.001121	0.000174	0.003026	-0.000069	0.005827
HG00155	-0.074921	-0.102770	-0.048588	-0.027835	-0.000815	-0.001519	0.001239	-0.000039	-0.001018	0.000860
HG00157	-0.074560	-0.097904	-0.029281	-0.045696	0.002421	0.001832	-0.000059	0.002910	-0.001686	-0.001269
HG00158	-0.068921	-0.083616	-0.038215	-0.023348	0.003532	0.003090	0.000398	0.005405	-0.001417	0.001098
HG00159	-0.070918	-0.103585	-0.031266	-0.044385	-0.001874	-0.001565	-0.004007	-0.001419	-0.001258	0.000795
HG00160	-0.072643	-0.110059	-0.038523	-0.027812	0.001450	-0.001666	0.002770	0.000180	0.000745	0.000636
HG00171	-0.084459	-0.077703	-0.036022	-0.025442	-0.000939	-0.003024	0.000774	-0.003606	0.001489	-0.003018
HG00173	-0.073970	-0.068403	-0.039564	-0.050131	-0.004619	-0.000390	-0.001393	-0.001085	0.000481	-0.005013
HG00174	-0.069373	-0.094769	-0.025687	-0.040770	0.001121	0.001359	-0.000842	0.001155	-0.002495	-0.003529
HG00176	-0.077599	-0.076184	-0.034798	-0.031509	-0.000871	-0.006339	0.000589	-0.001760	-0.003005	-0.001998
HG00177	-0.078610	-0.081710	-0.028429	-0.035611	-0.002659	0.000121	0.002097	-0.002105	-0.003420	-0.000293
HG00178	-0.075500	-0.098151	-0.022862	-0.007717	-0.002125	0.002016	0.002475	0.000050	0.002567	-0.002965
HG00179	-0.077005	-0.085264	-0.024360	-0.034887	-0.003098	-0.003855	0.000777	-0.000760	-0.001574	-0.001500
HG00180	-0.070684	-0.096654	-0.019437	-0.028018	-0.003556	-0.002879	0.000267	-0.002700	-0.003195	0.001750
HG00181	-0.064030	-0.079437	-0.042949	-0.033402	-0.002861	0.005922	0.000588	-0.004341	0.004486	0.000808
HG00182	-0.068598	-0.063937	-0.032191	-0.018646	-0.000993	-0.001237	0.000767	-0.000913	0.001282	-0.000173
HG00183	-0.078734	-0.059396	-0.044899	0.005756	0.001059	-0.003018	0.000658	-0.001536	0.000281	0.000928
HG00185	-0.079145	-0.068379	-0.054543	-0.025672	0.001945	-0.002504	0.004141	-0.001658	0.001722	-0.002307
HG00186	-0.082272	-0.085117	-0.043089	-0.026745	-0.002745	-0.001248	-0.000421	-0.000695	-0.000350	-0.002418
HG00187	-0.072211	-0.086491	-0.037549	0.005036	-0.002754	0.001648	0.002162	-0.003033	0.001307	-0.000126
HG00188	-0.074214	-0.084493	-0.033544	-0.041160	-0.001700	0.000993	0.001238	0.001721	-0.002431	-0.003161
HG00189	-0.068211	-0.093073	-0.040421	-0.029203	0.000935	-0.001486	0.001470	-0.003038	0.004157	-0.001233
HG00190	-0.072445	-0.099238	-0.038595	-0.010514	-0.005835	-0.003672	0.003894	-0.000658	0.004835	0.003351
HG00231	-0.073844	-0.087908	-0.035311	-0.034757	-0.002501	-0.000410	0.002922	-0.000074	-0.000980	0.003916
HG00232	-0.070004	-0.108134	-0.034837	-0.037224	-0.001359	-0.001764	0.000548	0.002779	0.001771	-0.000031
HG00233	-0.069165	-0.094635	-0.038662	-0.040136	-0.000006	0.001836	-0.000703	0.004844	-0.001738	-0.003117
HG00234	-0.066101	-0.092070	-0.016876	-0.024911	-0.000677	0.004267	-0.001284	-0.001105	0.000377	0.000115
HG00235	-0.066007	-0.093834	-0.018789	-0.046680	-0.004950	0.002697	-0.000958	-0.004256	0.002199	-0.002468
HG00236	-0.072044	-0.091691	-0.039750	-0.042833	-0.001353	0.001475	0.004239	0.004372	0.002883	-0.004120
HG00237	-0.072681	-0.099799	-0.050018	-0.058108	0.000289	0.002045	0.001348	0.003951	-0.000237	0.005896
HG00238	-0.067322	-0.100597	-0.028825	-0.043566	-0.002136	-0.001597	0.001627	0.001898	0.000303	0.003031
HG00239	-0.071777	-0.095841	-0.020263	-0.044504	0.000814	-0.002734	0.000024	0.001199	0.006163	-0.002170
HG00240	-0.076915	-0.098680	-0.044045	-0.051199	-0.002364	0.001260	0.000402	-0.000205	-0.003680	0.003369
HG00242	-0.085332	-0.091312	-0.017518	0.004046	0.000294	0.004364	0.001480	-0.000276	0.005680	0.000124
HG00243	-0.075316	-0.093478	-0.032007	-0.021811	-0.005525	-0.000485	0.001023	0.001663	0.002336	0.002470
HG00244	-0.071778	-0.085042	-0.033079	-0.056150	-0.001125	0.002745	-0.000403	0.000713	-0.000276	-0.003623
HG00245	-0.074121	-0.072554	-0.036167	-0.030811	-0.006424	0.002047	-0.001557	-0.000638	0.001270	-0.005038
HG00246	-0.075486	-0.079100	-0.034735	-0.030531	0.005035	-0.001222	0.000640	-0.002783	0.006931	-0.000182
HG00250	-0.073572	-0.086473	-0.037590	-0.037158	-0.002386	0.000177	0.000636	-0.000211	0.001109	-0.001702
HG00251	-0.071000	-0.091235	-0.031121	-0.047785	-0.003597	0.002905	0.002386	0.001944	0.000265	-0.003304
HG00252	-0.083906	-0.093905	-0.043776	-0.049231	-0.007741	0.004755	-0.004657	-0.000963	-0.000882	-0.002900
HG00253	-0.074358	-0.101745	-0.023407	-0.031004	-0.003689	-0.003986	0.003828	0.000421	0.004695	0.000196
HG00254	-0.077117	-0.092554	-0.050932	-0.048253	-0.001193	0.003928	-0.001297	0.005801	0.001425	-0.001706
HG00255	-0.076005	-0.091477	-0.046135	-0.032336	-0.000394	-0.002051	0.004952	0.000255	0.005194	-0.003284
HG00256	-0.065689	-0.089288	-0.037436	-0.043329	0.004492	-0.000818	0.004343	0.004012	0.001826	0.002890
HG00257	-0.066397	-0.103714	-0.043967	-0.032029	-0.003938	0.001187	-0.000585	-0.002336	0.002851	-0.002296
HG00258	-0.082019	-0.093989	-0.046910	-0.020150	-0.001893	-0.004419	0.002438	0.001905	-0.001930	0.002542
HG00259	-0.078343	-0.098394	-0.027931	-0.039930	-0.005783	-0.007481	0.002490	0.000862	-0.001140	-0.000768
HG00260	-0.070403	-0.103264	-0.034465	-0.037286	-0.001927	-0.001703	0.000056	-0.001120	0.001334	-0.000702
HG00261	-0.085969	-0.104427	-0.043364	-0.000820	0.002652	0.001350	0.006213	-0.000103	-0.001611	0.001759
HG00262	-0.074523	-0.075966	-0.043927	-0.040188	-0.000731	-0.002202	-0.000729	0.001383	0.003154	-0.003594
HG00263	-0.071552	-0.098338	-0.036610	-0.038468	0.002257	-0.006027	0.005664	0.005985	0.004522	-0.004408
HG00264	-0.073588	-0.090273	-0.037127	-0.051244	0.000472	-0.001314	0.001555	0.001058	0.005099	0.002734
HG00265	-0.076926	-0.098173	-0.047033	-0.041920	0.001175	-0.002945	0.000568	0.000511	0.000902	0.002396
HG00266	-0.074012	-0.060146	-0.023285	-0.029564	-0.001053	0.001045	0.001087	-0.004323	-0.001415	0.003540
HG00267	-0.075357	-0.072965	-0.041257	-0.032774	-0.001275	0.003113	-0.000484	-0.002281	0.001248	0.001807
HG00268	-0.077122	-0.093807	-0.040366	-0.026111	0.000816	-0.003531	0.002187	-0.000643	-0.000530	-0.000086
HG00269	-0.084707	-0.073136	-0.025495	-0.043215	-0.003707	-0.004001	-0.000150	-0.002725	-0.002102	-0.000985
HG00271	-0.071829	-0.083956	-0.052263	-0.044387	-0.003216	0.003199	0.002970	0.000112	-0.000980	-0.000873
HG00272	-0.081978	-0.079697	-0.033308	-0.004675	-0.004838	-0.002811	0.001758	0.000214	0.000166	0.001795
HG00273	-0.075176	-0.085979	-0.048084	-0.055973	-0.003470	0.002853	0.003305	0.005842	0.002417	-0.002970
HG00274	-0.077760	-0.065443	-0.041057	-0.039626	-0.001181	0.002590	0.000836	0.001037	-0.002151	-0.000202
HG00275	-0.067691	-0.078724	-0.031842	-0.043522	-0.001015	-0.001525	0.002199	-0.000936	0.000472	0.004261
HG00276	-0.076200	-0.061911	-0.020403	-0.014167	-0.002632	-0.000081	0.001886	-0.002611	0.000862	0.000896
HG00277	-0.070742	-0.092552	-0.031011	-0.036226	-0.005877	-0.000459	-0.000418	-0.001470	0.000308	-0.006221
HG00278	-0.081058	-0.070747	-0.043467	-0.054110	-0.004706	0.001790	-0.001454	-0.003429	0.000293	-0.001915
HG00280	-0.078633	-0.065276	-0.043082	-0.001670	0.000843	-0.003588	-0.000366	-0.002951	-0.000093	0.004725
HG00281	-0.080581	-0.071361	-0.028875	-0.023183	-0.001920	-0.004886	0.003223	-0.006196	-0.001621	-0.000542
HG00282	-0.069514	-0.076958	-0.038764	-0.041732	-0.003025	0.001249	0.001196	0.001074	-0.000252	-0.001045
HG00284	-0.085723	-0.066953	-0.038749	-0.045292	-0.004756	0.000240	-0.000273	-0.003768	0.000192	-0.002428
HG00285	-0.072642	-0.082639	-0.028374	-0.039743	-0.004180	-0.005130	0.000000	0.001512	-0.001134	0.000928
HG00288	-0.081167	-0.084820	-0.039145	-0.044245	-0.001064	0.003459	-0.002626	-0.002423	-0.001289	-0.001151
HG00290	-0.066721	-0.075835	-0.024683	-0.047211	0.003116	-0.001846	-0.000452	-0.001118	0.000597	0.001553
HG00304	-0.074916	-0.078407	-0.026837	-0.020095	-0.006188	-0.003631	0.001184	-0.000445	0.004826	-0.001420
HG00306	-0.067606	-0.083608	-0.031766	-0.053173	-0.003095	-0.001742	0.002141	0.000144	-0.001290	-0.002280
HG00308	-0.074892	-0.085214	-0.040156	-0.037882	-0.005562	-0.002374	0.000448	0.001416	-0.002932	-0.002287
HG00309	-0.069205	-0.086257	-0.019022	-0.030886	-0.002246	-0.005383	0.001401	0.000536	0.002177	-0.004408
HG00310	-0.075324	-0.065895	-0.038858	-0.035907	-0.000068	0.000722	-0.001104	-0.007500	0.003218	-0.003591
HG00311	-0.077143	-0.093047	-0.033845	-0.029269	-0.002855	0.001779	0.003494	-0.001399	0.001764	-0.000311
HG00313	-0.077686	-0.076100	-0.037666	-0.034386	-0.001129	-0.001736	0.001601	-0.001366	0.005146	-0.002329
HG00315	-0.074223	-0.062299	-0.031224	-0.036633	-0.003460	0.000855	0.000631	0.002873	-0.002608	-0.000319
HG00318	-0.072268	-0.075187	-0.031384	-0.035455	-0.004422	0.000347	-0.001839	-0.001454	0.000342	-0.000285
HG00319	-0.075946	-0.067429	-0.039963	-0.059241	-0.000488	-0.003130	0.002695	-0.001907	-0.000949	-0.000385
HG00320	-0.079335	-0.040912	-0.022860	-0.022661	-0.001090	-0.003503	0.001831	0.003528	-0.001733	0.000065
HG00321	-0.080857	-0.071441	-0.035791	-0.020562	-0.001269	-0.000265	0.001510	0.000995	0.002079	0.002519
HG00323	-0.078960	-0.079192	-0.033761	-0.021024	-0.001009	0.000713	0.001938	0.000713	0.001643	-0.001168
HG00324	-0.077234	-0.065542	-0.035808	-0.041184	-0.002446	0.005428	0.000603	0.002834	-0.001371	-0.002285
HG00325	-0.077534	-0.080505	-0.040077	-0.031249	-0.002090	-0.001388	0.003033	0.000603	0.001625	-0.000963
HG00326	-0.079508	-0.071662	-0.034794	-0.024501	0.000262	0.002271	-0.000294	-0.000795	0.000937	0.001693
HG00327	-0.078802	-0.082589	-0.041768	-0.040313	-0.001084	0.005794	0.000301	0.000005	-0.000443	0.001069
HG00328	-0.078176	-0.083638	-0.042881	-0.013328	-0.005885	0.000050	-0.000605	0.000016	0.000199	-0.003703
HG00329	-0.083970	-0.070986	-0.039166	-0.005983	0.002295	-0.001865	-0.001774	-0.001594	-0.002061	0.000743
HG00330	-0.078570	-0.090376	-0.032321	-0.026683	-0.000711	-0.004153	0.003227	0.001649	0.002047	-0.002546
HG00331	-0.076033	-0.071565	-0.045367	-0.037146	-0.000997	-0.000011	0.002968	0.000247	0.003482	-0.001351
HG00332	-0.077541	-0.069680	-0.038508	-0.044891	-0.003583	-0.000404	0.000630	-0.002596	-0.001452	-0.000669
HG00334	-0.075887	-0.089097	-0.038578	-0.040813	-0.000362	-0.002888	0.002428	-0.001297	0.000833	-0.001716
HG00335	-0.073004	-0.090047	-0.040516	-0.021659	-0.002098	-0.004746	-0.000008	-0.002347	0.001341	0.002320
HG00336	-0.073948	-0.094223	-0.027830	-0.021602	-0.002830	-0.003370	0.004489	-0.003266	0.003368	-0.000415
HG00337	-0.066898	-0.075875	-0.037050	-0.042970	-0.001248	-0.004971	0.001315	-0.001276	0.005109	0.000301
HG00338	-0.068531	-0.072398	-0.035724	-0.039535	-0.003579	0.002751	-0.001055	-0.000865	-0.000369	0.002610
HG00339	-0.078639	-0.075408	-0.033107	-0.031811	-0.003637	0.005624	-0.001809	-0.002781	0.003737	-0.003869
HG00341	-0.079395	-0.067798	-0.033142	0.006363	-0.002797	-0.003584	0.001374	-0.000339	0.000868	0.000682
HG00342	-0.089197	-0.062790	-0.048553	-0.034693	-0.005833	0.000757	-0.000816	-0.001589	-0.000255	-0.002651
HG00343	-0.065773	-0.090528	-0.032612	-0.053003	-0.000969	-0.000557	0.002709	0.000199	0.002562	-0.000231
HG00344	-0.072247	-0.081474	-0.036869	-0.051785	-0.002060	0.006524	-0.000756	0.005792	-0.000717	0.000348
HG00345	-0.075297	-0.086155	-0.039576	-0.023510	-0.003627	0.001251	-0.001171	0.001415	-0.000498	-0.003634
HG00346	-0.076143	-0.088084	-0.040010	-0.031434	-0.003988	-0.002015	-0.000915	-0.002557	0.000266	-0.000636
HG00349	-0.082282	-0.078642	-0.029266	-0.027311	-0.003456	0.000498	0.000181	-0.005400	0.002820	-0.003917
HG00350	-0.074700	-0.099160	-0.035584	-0.048004	-0.002498	0.002927	0.000587	-0.002676	0.001917	-0.004490
HG00351	-0.077160	-0.058159	-0.027475	-0.038984	-0.001942	-0.006180	0.003520	0.000300	0.000603	-0.001768
HG00353	-0.071369	-0.090338	-0.040559	-0.048723	0.001004	-0.002709	0.001480	-0.001158	0.000484	-0.000865
HG00355	-0.076745	-0.073516	-0.026281	-0.043799	-0.005667	-0.003164	0.002013	-0.000179	0.001255	-0.001180
HG00356	-0.068969	-0.084922	-0.039844	-0.046809	-0.001513	-0.000113	-0.000403	-0.002029	0.002436	0.001125
HG00357	-0.085183	-0.071772	-0.035605	-0.049256	-0.002927	-0.001136	0.000461	-0.001300	-0.001163	-0.000705
HG00358	-0.076977	-0.089803	-0.040752	-0.052301	-0.002874	-0.009301	0.002561	-0.000606	0.001093	-0.000009
HG00360	-0.077529	-0.065719	-0.024141	-0.015578	-0.002770	0.002978	-0.000420	-0.000536	0.003513	-0.005287
HG00361	-0.077958	-0.084221	-0.039950	-0.034769	0.006238	0.004640	-0.006905	-0.010834	-0.009827	-0.010411
HG00362	-0.078824	-0.070867	-0.027889	-0.038037	0.000746	0.001559	0.001339	0.000936	0.001319	-0.000329
HG00364	-0.079792	-0.081727	-0.031082	-0.037364	-0.000080	-0.005582	0.000242	-0.003215	0.000289	-0.002551
HG00365	-0.083031	-0.066020	-0.042867	-0.035437	-0.005317	-0.001564	0.000533	-0.000366	-0.000294	-0.002325
HG00366	-0.073200	-0.091931	-0.030087	-0.004836	-0.004683	-0.003664	0.005093	-0.002643	0.001043	0.001122
HG00367	-0.080728	-0.061655	-0.041932	-0.028849	0.001059	-0.004366	0.002417	-0.004110	-0.003413	-0.003127
HG00368	-0.074587	-0.095931	-0.025158	-0.030310	-0.003083	-0.000679	0.001677	-0.000556	0.001632	-0.000386
HG00369	-0.077619	-0.081023	-0.035283	-0.051216	-0.001275	-0.001889	0.000407	0.000674	-0.001232	0.000380
HG00371	-0.079861	-0.080474	-0.026721	-0.039477	-0.006479	0.002355	0.000717	-0.002973	0.003414	-0.004129
HG00372	-0.077957	-0.086617	-0.036649	-0.044986	-0.003641	-0.002903	0.001356	0.001214	0.000425	0.002409
HG00373	-0.082450	-0.078427	-0.030595	-0.035676	-0.000670	0.002294	-0.001060	0.003097	0.000994	-0.002461
HG00375	-0.085593	-0.077379	-0.031646	-0.016053	-0.003371	-0.003044	0.001811	-0.000280	0.003243	0.002335
HG00376	-0.076468	-0.088506	-0.042398	-0.049606	-0.001246	0.001976	0.000705	0.001886	-0.000378	0.001821
HG00378	-0.072111	-0.075228	-0.033139	-0.004525	-0.003169	-0.002174	0.002978	-0.003624	0.005138	-0.000104
HG00379	-0.074241	-0.060966	-0.036283	-0.011453	-0.000374	0.004426	0.002938	0.001040	0.002702	-0.001586
HG00380	-0.086393	-0.070708	-0.033597	-0.015161	-0.001607	0.005037	0.001074	0.004006	0.000282	-0.003214
HG00381	-0.085494	-0.085481	-0.029357	0.005910	0.003604	-0.001034	0.000548	0.004362	0.003560	0.007090
HG00382	-0.069694	-0.084887	-0.030936	-0.042152	-0.002999	0.001426	0.004438	0.000635	-0.000064	0.001805
HG00383	-0.075692	-0.068567	-0.051371	-0.041322	-0.002225	-0.001395	-0.003760	-0.003212	-0.000967	0.001201
HG00384	-0.079029	-0.089966	-0.033706	-0.039815	-0.002914	0.000064	-0.002360	-0.002773	0.001680	-0.003241
HG00403	-0.094805	0.123176	-0.011952	-0.038375	-0.001033	0.002835	-0.001785	-0.003815	-0.005352	-0.000307
HG00404	-0.097151	0.149344	-0.022882	-0.033630	0.001875	-0.002393	-0.001946	-0.004601	-0.000761	-0.002172
HG00406	-0.098139	0.109226	-0.019564	0.015010	0.003586	0.000614	0.002051	0.001018	0.003328	0.001720
HG00407	-0.095426	0.125939	-0.011953	-0.013136	0.001288	-0.009330	0.001049	0.000951	-0.001138	-0.001447
HG00409	-0.097309	0.150908	-0.024446	-0.034551	-0.002406	0.002335	0.001710	0.000924	0.002010	0.004437
HG00410	-0.091084	0.128295	-0.012929	-0.003367	-0.004873	0.005393	0.003119	-0.000975	0.002635	0.004437
HG00419	-0.102015	0.139178	-0.009462	-0.035342	-0.003618	-0.000609	0.000693	-0.001407	-0.000359	0.001461
HG00421	-0.102177	0.139563	-0.034404	-0.034973	0.003356	-0.003084	0.000498	0.001410	-0.007221	0.000821
HG00422	-0.099314	0.129103	-0.015054	0.013490	0.003925	0.002873	0.001521	0.004258	-0.002375	0.001526
HG00428	-0.100641	0.124300	-0.007422	-0.039568	-0.000927	0.003902	0.000758	-0.002281	-0.002282	0.000634
HG00436	-0.097501	0.107795	-0.014332	-0.008638	-0.000310	-0.005759	0.001535	0.000017	0.001632	0.003151
HG00437	-0.103168	0.137267	-0.027887	-0.023917	0.000450	-0.004719	0.000409	-0.002838	-0.003403	-0.003811
HG00442	-0.103257	0.125131	-0.027828	-0.032620	-0.001412	-0.005182	-0.001779	0.001974	-0.005494	-0.001118
HG00443	-0.104319	0.131275	-0.015648	-0.029539	0.000390	0.001340	0.002113	0.000427	0.000754	0.001091
HG00445	-0.092814	0.144021	-0.023204	-0.027527	-0.001672	-0.000815	-0.003341	-0.002011	-0.001772	0.001287
HG00446	-0.100201	0.132204	-0.022068	-0.033518	0.002569	-0.003111	0.003464	0.005109	0.005657	0.002656
HG00448	-0.098199	0.131662	-0.032183	-0.020336	-0.002296	0.006851	-0.001766	0.000672	-0.002758	-0.002366
HG00449	-0.100622	0.128587	-0.018938	-0.005957	0.002183	0.006053	-0.001505	0.000620	-0.002168	-0.001360
HG00451	-0.104254	0.139636	-0.019191	-0.033086	-0.000430	-0.001990	-0.000712	0.001083	0.003042	-0.004000
HG00452	-0.100641	0.144750	-0.020399	-0.040284	-0.001354	0.001995	-0.003420	-0.001094	-0.001199	0.001379
HG00457	-0.097107	0.123231	-0.008707	-0.026933	0.001293	-0.003469	0.000432	-0.000182	0.002778	0.000055
HG00458	-0.096288	0.135702	-0.018572	-0.046478	-0.001281	-0.003976	-0.000235	-0.000902	0.001089	-0.005923
HG00463	-0.093265	0.146281	-0.021904	-0.037623	0.000977	0.003907	-0.002425	0.000774	0.003001	-0.001492
HG00464	-0.105605	0.124427	-0.020765	-0.021905	-0.000801	-0.004206	-0.000671	0.000161	0.006223	0.001013
HG00472	-0.102940	0.136615	-0.028357	-0.002463	-0.000741	-0.001282	0.007662	-0.001235	0.000935	0.002740
HG00473	-0.096142	0.129272	-0.006148	-0.022893	0.000709	-0.006837	0.002235	-0.001413	0.000585	-0.004043
HG00475	-0.097448	0.132940	-0.012425	-0.023897	0.002504	0.005162	-0.000595	0.005563	0.006235	0.002577
HG00476	-0.098959	0.123268	-0.029433	-0.003707	-0.000392	-0.003003	0.001375	0.001229	-0.000114	-0.000490
HG00478	-0.103859	0.140024	-0.031456	-0.023703	0.001424	0.000477	-0.001795	0.000788	0.001800	-0.001016
HG00479	-0.102584	0.135514	-0.023781	-0.034140	-0.004033	-0.001029	-0.001968	-0.001817	0.003010	-0.002570
HG00500	-0.100874	0.145824	-0.021068	-0.004873	-0.003969	0.000540	0.001697	-0.000640	0.000221	-0.000622
HG00513	-0.098001	0.127854	-0.008260	-0.041351	-0.001186	-0.001896	0.000059	0.001499	0.003376	0.003785
HG00524	-0.090557	0.125912	-0.014355	-0.019141	0.001481	-0.001587	0.000139	-0.001306	0.001148	-0.000588
HG00525	-0.103156	0.135768	-0.018706	-0.034937	-0.001562	0.001501	0.000383	-0.001729	-0.003174	0.004204
HG00530	-0.102446	0.141273	-0.024506	-0.033518	-0.000809	-0.004248	0.004144	-0.000302	-0.001039	-0.001769
HG00531	-0.092863	0.136802	-0.027412	-0.030439	-0.002003	-0.004884	0.000517	0.001167	-0.000378	-0.000401
HG00533	-0.097961	0.128798	-0.026584	-0.036081	-0.000526	0.003056	0.000023	-0.000303	0.000346	-0.001122
HG00534	-0.093288	0.130436	-0.017378	-0.028634	-0.003686	-0.000764	-0.000586	0.000176	0.000113	-0.001447
HG00536	-0.100249	0.123940	-0.022824	-0.004172	-0.001563	-0.000345	-0.003311	-0.000158	0.001246	0.002253
