#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00151	-0.0116937	-0.0272094	-0.00852067	-0.0153568	0.00131978	0.00162734	-0.00323571	0.00176651	0.000542836	0.00169528
HG00154	-0.0110685	-0.0248483	-0.00834805	-0.00992044	0.00242436	4.4247e-05	0.00151041	-0.00247631	0.000901865	-0.00308919
HG00155	-0.0108752	-0.027828	-0.016294	-0.0131682	0.00132322	0.000499038	0.000892147	-0.000978343	-0.00158282	-0.000213317
HG00157	-0.0112567	-0.0254535	-0.0104582	-0.021859	-0.00102408	-0.000652243	0.000787585	-0.000169132	0.00265595	0.00156278
HG00158	-0.0107082	-0.0219714	-0.0154955	-0.0116672	-0.00208026	-0.0004401	0.00214532	-0.00163244	0.000911814	-7.49334e-06
HG00159	-0.0106151	-0.0263523	-0.00836618	-0.0191213	0.000889892	0.0018485	-0.00238285	-0.000844673	0.00174004	-0.00123857
HG00160	-0.0112176	-0.0298354	-0.0143434	-0.0133595	-0.000383346	0.000893948	0.00108294	-0.00166946	-0.00135604	-0.000938308
HG00171	-0.0127468	-0.0200618	-0.0116269	-0.0123978	0.00095116	0.00266372	-0.000413054	0.00249314	-0.000454671	0.00158163
HG00173	-0.0110983	-0.0178909	-0.0128678	-0.0222092	0.00222008	-0.00135497	-0.00164293	-8.05747e-05	0.0020857	0.00207437
HG00174	-0.010336	-0.0243906	-0.00846825	-0.0202874	0.000359765	0.000176628	-0.000176998	-0.00113132	0.0013407	0.00293741
HG00176	-0.0118033	-0.0209654	-0.0121469	-0.0147741	1.80855e-05	0.00351499	-0.00102218	-0.0010996	-0.000529145	0.000936405
HG00177	-0.0115325	-0.0213627	-0.00966122	-0.0177541	0.00174327	0.000258201	-0.00187887	-0.00133315	-0.000773412	0.000842742
HG00178	-0.011295	-0.0253973	-0.00868062	-0.00343905	0.00144673	-0.00128965	0.0026823	0.00160344	0.000377662	0.00106755
HG00179	-0.0115487	-0.0220943	-0.00748761	-0.0149391	0.000843563	0.00119324	-0.00087308	-8.33719e-05	-0.000364992	0.00140991
HG00180	-0.0109156	-0.0261016	-0.00524945	-0.012956	0.00179821	0.00238632	-0.000870037	-0.00171766	-0.00184751	-0.00020508
HG00181	-0.00967544	-0.0213279	-0.0149964	-0.0151889	0.000900041	-0.00222857	-0.000621044	0.00234682	-0.000371172	-0.00067856
HG00182	-0.0108222	-0.0167002	-0.0109321	-0.00836815	5.55578e-05	0.000555713	-0.000169184	-0.000558158	0.000635368	0.000736401
HG00183	-0.0124678	-0.0155906	-0.0168722	1.96815e-06	-8.84541e-05	0.00227274	0.000299372	0.00155502	-0.000782342	-0.000125671
HG00185	-0.0117923	-0.0177882	-0.0210798	-0.0152257	-0.000313476	0.00185829	-0.0005462	0.00124324	-0.00132087	0.00198762
HG00186	-0.0122677	-0.0238616	-0.0148753	-0.0147954	0.00127247	0.00104745	-0.00162049	-9.70059e-05	0.00197276	0.0016097
HG00187	-0.0108701	-0.0223375	-0.014668	0.00119191	0.00117224	-0.000551167	0.00112591	0.00354077	-0.000831938	-3.12708e-05
HG00188	-0.0109165	-0.0227731	-0.0107439	-0.0201301	0.000337543	0.000156489	0.000135306	4.25396e-05	0.00225662	0.00309618
HG00189	-0.0103924	-0.0247262	-0.0136681	-0.0149215	-0.000138003	0.00136713	0.00235093	0.00164206	-0.000477098	-0.000553178
HG00190	-0.0108097	-0.0258433	-0.0120347	-0.00676426	0.00229253	0.00247944	0.00236026	0.00197637	-0.000596617	-0.00208135
HG00231	-0.0109886	-0.0231865	-0.0101906	-0.0164722	0.00134292	0.0007915	0.00103379	0.000705361	-0.00194767	0.00129733
HG00232	-0.0107088	-0.0274887	-0.0115571	-0.0166683	0.000473155	0.00155931	0.000377903	0.000953803	0.00140111	0.000459014
HG00233	-0.0106427	-0.0245951	-0.0142564	-0.0188527	0.00050226	-0.00118974	0.00051003	-0.00165445	0.00272742	0.00223558
HG00234	-0.00988023	-0.0250754	-0.00566787	-0.0129646	-0.000849953	-0.00251438	-0.00188861	-0.000671637	-0.000584179	0.00175457
HG00235	-0.00953988	-0.0247282	-0.00471607	-0.0222761	0.00170675	-0.00060318	-0.00166816	0.00142578	0.000975611	0.00208445
HG00236	-0.0105536	-0.0249039	-0.014201	-0.0203151	0.000775419	1.4106e-05	0.00333099	0.00223322	0.00196244	0.00257784
HG00237	-0.0110876	-0.026697	-0.0175904	-0.02577	-0.000349092	-0.000434249	0.00148324	-0.00270068	-0.000591204	-0.00246184
HG00238	-0.0103733	-0.0257881	-0.0092698	-0.0187778	0.00109724	0.000246198	0.00135165	-0.000100233	-6.56586e-05	-0.00145357
HG00239	-0.0105599	-0.0252959	-0.00420844	-0.0188321	0.000100248	0.000627753	0.00195578	0.00317839	0.00227236	-0.000385063
HG00240	-0.0118088	-0.0259997	-0.0134605	-0.0248704	0.00096033	-0.00130884	0.000141878	-0.0012531	-0.000891563	2.90454e-05
HG00242	-0.01244	-0.0240432	-0.00615247	-0.000179191	0.000123413	-0.00123756	0.00202684	0.00196391	-0.000236999	-0.00146303
HG00243	-0.0117182	-0.0237873	-0.0100355	-0.0108563	0.0028808	0.000374189	0.00141081	-0.000911984	0.000871282	-0.00112128
HG00244	-0.0106994	-0.0237677	-0.00989806	-0.0244286	5.434e-05	-0.000832157	-8.07524e-06	0.000436189	0.00106202	0.00200696
HG00245	-0.0108044	-0.0187428	-0.0135105	-0.0154078	0.00253626	-0.00056816	-0.00104624	0.0023191	0.00177928	0.00176597
HG00246	-0.0112009	-0.0210195	-0.0117774	-0.0150651	-0.00210637	0.000842537	0.000266406	0.00274717	-0.000437803	-0.0016739
HG00250	-0.011354	-0.0238624	-0.0139913	-0.0185088	0.000906206	0.000327039	-0.000207643	0.00116178	0.00142803	0.00145198
HG00251	-0.010592	-0.0234925	-0.00889828	-0.0212192	0.00199329	-0.000778513	0.00228304	-0.000233832	0.000364038	0.00223468
HG00252	-0.0125657	-0.024374	-0.0131446	-0.0240545	0.00313361	-0.00197757	-0.00222715	0.00146272	0.0023906	0.0012224
HG00253	-0.0111882	-0.026315	-0.00779876	-0.0126923	0.00160439	0.0034459	0.0019562	0.00137286	-6.36368e-06	-0.000829938
HG00254	-0.0118206	-0.0253356	-0.0186839	-0.0240906	0.00077475	-0.00204666	0.00117092	-0.000649077	0.00328678	-0.000265921
HG00255	-0.0114693	-0.0239761	-0.0162227	-0.0165325	5.59868e-05	0.00195871	0.00169115	0.00273615	-0.000152737	0.00252762
HG00256	-0.00994207	-0.0239587	-0.0126711	-0.0218554	-0.00242034	0.00113058	0.00492354	-0.000924603	-0.000511413	-0.000992163
HG00257	-0.010284	-0.0274376	-0.0161393	-0.014937	0.0023849	-0.000788164	-0.00137227	0.00180653	5.23901e-05	0.000238362
HG00258	-0.0120094	-0.0246617	-0.0161154	-0.0105174	0.00121412	0.00242014	0.00141628	-0.00118006	-0.00163548	-0.000161784
HG00259	-0.0114301	-0.0259669	-0.0091592	-0.0185504	0.00286652	0.00412419	0.000855079	0.000808445	-0.000725058	0.00090611
HG00260	-0.0106959	-0.0272714	-0.0110892	-0.0189498	0.00086208	0.00195283	-0.000933667	0.00264616	0.00132202	0.000409694
HG00261	-0.012626	-0.0281039	-0.015136	-0.00367273	-0.00032967	0.000454503	0.00268404	0.000101999	-0.00439922	0.00091129
HG00262	-0.0109964	-0.0211464	-0.0171213	-0.0208894	0.00047147	0.00130427	-8.05334e-05	0.000353818	0.0022218	0.000803035
HG00263	-0.0107502	-0.0258109	-0.0116998	-0.0180465	2.12562e-05	0.00427068	0.00380816	0.00365687	0.00115485	0.00207927
HG00264	-0.0108353	-0.0240134	-0.0107767	-0.0238437	-1.09923e-05	0.00066067	0.00213787	0.00230272	-0.000170686	-0.00195372
HG00265	-0.0115732	-0.025576	-0.0140241	-0.0213184	-0.000231427	0.00165565	0.000386087	6.0011e-05	0.000586558	-0.000849857
HG00266	-0.0113989	-0.0151263	-0.00899796	-0.0128727	-0.000321867	0.000181772	-0.00064152	0.00114087	-0.00362582	-0.00135437
HG00267	-0.0115457	-0.0186879	-0.014181	-0.0167754	0.000696788	-0.000509224	-7.9775e-05	0.00172391	0.000502716	-0.00067569
HG00268	-0.0115722	-0.0244668	-0.0127909	-0.0123984	4.02672e-05	0.000503891	0.00131105	0.00140953	-0.0012943	-0.000445374
HG00269	-0.0127798	-0.0190057	-0.00834839	-0.0207376	0.00104883	0.00226453	-0.00208507	0.000937807	-0.000674113	0.00165644
HG00271	-0.0108019	-0.0228171	-0.017285	-0.0232067	0.00163132	-0.000741083	0.00213332	0.00152744	-0.00127012	0.00219973
HG00272	-0.0118901	-0.0203233	-0.0110579	-0.00481995	0.00220213	0.00166564	0.000970862	0.001147	-0.000638928	-0.000104393
HG00273	-0.0112456	-0.0229137	-0.0168554	-0.0246073	0.00116343	-0.00211592	0.00349614	-0.000186085	0.00245596	0.00195372
HG00274	-0.0121902	-0.0180449	-0.0148255	-0.0182034	0.000614848	-0.00126862	-5.33278e-05	-0.000193508	-0.000733804	0.00173126
HG00275	-0.0105303	-0.0195566	-0.00968388	-0.0195077	0.000513843	0.00163289	0.000605285	0.000186967	-0.00102429	-0.000307327
HG00276	-0.0111692	-0.0171723	-0.00577664	-0.00796479	0.00114086	0.00134667	-0.000318705	0.00055043	-0.00170287	0.000526006
HG00277	-0.0106323	-0.0249863	-0.0102542	-0.0184627	0.0023394	0.000421068	-0.00127153	0.00189793	0.00123651	0.00329949
HG00278	-0.0123853	-0.0180777	-0.0147721	-0.0241083	0.0016748	0.000458352	-0.00137626	0.00253971	0.00096629	0.00105583
HG00280	-0.0116421	-0.0166844	-0.0148555	-0.00385007	-0.00033736	0.0028008	-0.00155997	5.45483e-06	-0.00242683	-0.00170566
HG00281	-0.0118754	-0.0191917	-0.0106083	-0.0109836	0.000866417	0.00257401	-0.000634407	0.00266247	-0.00219669	0.00183491
HG00282	-0.0101201	-0.0210393	-0.0111171	-0.0207902	0.00172856	-0.00126514	0.001029	0.000631973	0.000759416	0.00189415
HG00284	-0.0128726	-0.0179279	-0.0139795	-0.0222961	0.00264087	0.000396041	-0.0012281	0.00242299	-0.00150238	0.00114607
HG00285	-0.0109205	-0.0221454	-0.0100694	-0.0179754	0.00174295	0.00259837	0.000105469	-0.00143188	0.00188041	-0.000365822
HG00288	-0.0119361	-0.0218627	-0.0131908	-0.0195463	0.000330975	-0.00200105	-0.00176956	0.000847567	0.00120199	0.000947231
HG00290	-0.0100786	-0.0206032	-0.00801702	-0.0211257	-0.00123071	0.00131773	-0.000706198	-0.000819715	0.000399896	-0.000434585
HG00304	-0.0115092	-0.0200823	-0.0095442	-0.0108053	0.0027495	0.00254681	0.000614343	0.00211951	0.00127759	0.00103518
HG00306	-0.0105946	-0.0214541	-0.0103936	-0.023697	0.00134553	0.0017546	0.000608577	-0.000330517	2.87504e-05	0.00216923
HG00308	-0.0115429	-0.0224831	-0.0142912	-0.0181333	0.00200583	0.00127974	0.000396059	-0.000490085	0.00174242	0.00168861
HG00309	-0.010461	-0.0233527	-0.00475161	-0.0158253	0.000975835	0.00339823	-0.00057397	0.000814195	0.00296018	0.00310574
HG00310	-0.0114411	-0.0180067	-0.0134012	-0.0165859	-0.000222769	-7.64525e-05	-0.00259145	0.00405668	0.000313444	0.00189526
HG00311	-0.011413	-0.0240358	-0.012465	-0.0134974	0.00139513	0.000524676	0.000503514	-0.000207994	5.27406e-05	0.0015111
HG00313	-0.0111406	-0.0210422	-0.0138834	-0.0173732	0.00106397	0.000807437	0.001301	0.00381011	0.000645939	0.000817963
HG00315	-0.0115826	-0.0158058	-0.0104458	-0.017735	0.00167539	-0.000822528	0.000425281	-0.00215374	0.000287003	0.000362614
HG00318	-0.010598	-0.0204068	-0.0100758	-0.0175107	0.000945945	0.000774431	-0.00130469	0.000265916	0.000355747	-0.000866723
HG00319	-0.0116148	-0.0186913	-0.0135517	-0.0281405	-0.000258356	0.00192837	-0.000495636	-0.00109328	-0.00196979	0.00109714
HG00320	-0.0118727	-0.0111426	-0.00798523	-0.0111508	0.000152694	0.00320038	0.00100446	-0.00130681	2.10046e-05	-1.05434e-05
HG00321	-0.0126108	-0.0198855	-0.0127253	-0.0100241	0.00145752	0.000705752	0.00162584	0.00123071	-1.43443e-05	-0.00143783
HG00323	-0.011531	-0.0212317	-0.0120559	-0.0104301	0.000955593	0.000775956	0.00204788	0.00315672	0.00133382	0.000929179
HG00324	-0.0113144	-0.017847	-0.0139339	-0.0226458	0.0013435	-0.00303083	0.00145102	-0.000782622	0.00189817	0.00233033
HG00325	-0.0114761	-0.0208699	-0.0129704	-0.0149563	0.00117314	0.00184458	0.000712553	0.00244958	0.00109083	0.00169347
HG00326	-0.0119116	-0.0183962	-0.011203	-0.0124262	-0.00030958	-0.00187244	-0.00111168	6.49184e-05	-0.000718031	3.4564e-05
HG00327	-0.0120521	-0.0217598	-0.0140168	-0.0187983	0.000425155	-0.00290265	0.000523492	0.00122361	-0.000652344	0.000601598
HG00328	-0.0117251	-0.0225726	-0.0147889	-0.00902371	0.00270567	1.57912e-05	-0.00120488	-2.72483e-05	0.000957736	0.00150451
HG00329	-0.0122748	-0.01869	-0.0145196	-0.00550156	-0.000229612	0.00121883	-0.00143323	-0.00048732	-0.00134227	9.87503e-05
HG00330	-0.0117201	-0.0236081	-0.010774	-0.0134298	0.000675878	0.00255784	0.0019688	0.00107328	0.00190574	0.00180554
HG00331	-0.0114427	-0.0186986	-0.0144248	-0.0167532	0.000139044	0.000340205	0.00196906	0.0031649	0.000229652	0.000947972
HG00332	-0.0118764	-0.0186649	-0.01373	-0.0208026	0.00125355	0.000144408	-0.001103	0.000187922	-0.000172698	0.000449823
HG00334	-0.0116087	-0.0234507	-0.0139168	-0.0211129	0.00107128	0.0025266	0.000117159	0.00147336	-0.000321483	0.00185393
HG00335	-0.0115278	-0.0245955	-0.0149839	-0.0116343	0.000246751	0.00228967	-0.000239557	0.00145992	0.00103629	-0.0019454
HG00336	-0.0110429	-0.0251298	-0.00901352	-0.0109389	0.00186825	0.0017916	0.00142418	0.00180302	-0.0011919	0.000519006
HG00337	-0.00971651	-0.0198424	-0.0115991	-0.0193528	0.000805461	0.00183894	0.0010356	0.00198305	0.000928858	-0.000723511
HG00338	-0.0101014	-0.0185906	-0.0112739	-0.0204834	0.00122569	-0.000582106	-0.000713792	-0.000121089	0.00177489	6.6269e-05
HG00339	-0.0119253	-0.0203331	-0.0121674	-0.0156557	0.00213214	-0.00369216	-0.000412091	0.00394981	0.00165246	0.000685624
HG00341	-0.011581	-0.0182258	-0.011916	0.00193646	0.00136825	0.00214594	0.00177144	0.000223584	-0.000710571	-0.000307955
HG00342	-0.0132677	-0.0177142	-0.017977	-0.0198477	0.00339943	0.0009016	-0.000299275	0.00144082	0.000416055	0.00116174
HG00343	-0.00962575	-0.0237281	-0.00834717	-0.0243636	-0.000344972	-6.46264e-05	0.00077795	0.000988545	0.00010534	0.000625618
HG00344	-0.0110477	-0.0217797	-0.0132323	-0.0230482	0.000441813	-0.00335336	0.00197756	-0.00250002	0.00197672	0.000281694
HG00345	-0.0115528	-0.0213352	-0.0132743	-0.0115505	0.001498	-0.00143599	0.000852981	0.00111299	0.00172846	0.000992104
HG00346	-0.0113277	-0.0219874	-0.0119238	-0.0147771	0.00133083	0.00197251	-0.00145881	0.000787839	-0.000516443	0.000459592
HG00349	-0.0122442	-0.0222853	-0.0107766	-0.0142837	0.00178209	0.000544538	-0.000626375	0.00511562	0.000858687	0.000916445
HG00350	-0.0110902	-0.0272901	-0.0116433	-0.0230371	0.00104655	-0.001413	-0.000690102	0.00201322	-0.000318162	0.00253792
HG00351	-0.01186	-0.0159102	-0.00847637	-0.0181923	0.000695991	0.00337358	0.00196611	0.00112481	0.00161953	0.00161178
HG00353	-0.0105314	-0.023709	-0.0130782	-0.0236033	0.000458913	0.00219349	-0.000233818	0.00106139	0.000928366	0.00116182
HG00355	-0.0114023	-0.0200651	-0.00715701	-0.022436	0.00293908	0.00220185	-0.000260965	0.000734181	0.00108441	0.00108864
HG00356	-0.0103843	-0.0227703	-0.0119759	-0.023825	0.000766292	0.000375115	-0.000271718	0.00140246	-0.000215388	-0.00121059
HG00357	-0.0130274	-0.0186887	-0.010935	-0.0229973	0.00217845	0.000326382	-0.000165241	0.000215924	-0.000860347	0.000623114
HG00358	-0.0110763	-0.0235987	-0.0122333	-0.0250104	0.000653149	0.00631384	-0.000532734	0.0015771	0.000150367	0.00104409
HG00360	-0.0112535	-0.0172605	-0.00883727	-0.00694163	0.00116773	-0.00237817	0.000478679	0.00202714	0.001622	0.00143599
HG00361	-0.0118778	-0.0217845	-0.0120756	-0.0160669	-0.0025295	-0.0020602	-0.00466191	-0.000524256	-0.00077888	0.00425413
HG00362	-0.0113777	-0.0193271	-0.00856245	-0.0165041	0.00022355	-0.00100775	0.000129335	0.00076541	0.000773071	0.000526729
HG00364	-0.0124677	-0.0208359	-0.0118719	-0.0186396	0.00103195	0.00478799	-0.0017004	0.000807076	-0.000259065	0.00251675
HG00365	-0.0124866	-0.0176601	-0.01486	-0.0179848	0.00215287	0.00136009	0.000135053	0.00165	0.00165866	0.00136878
HG00366	-0.0110775	-0.0237745	-0.00988206	-0.00316145	0.0017683	0.00219844	0.0021919	0.00248741	-0.00366396	0.00049046
HG00367	-0.0118342	-0.0170586	-0.0167384	-0.015186	-0.000536801	0.00163693	-0.00175794	4.03257e-05	-0.00218913	0.00235125
HG00368	-0.0108942	-0.0244795	-0.00799625	-0.0126161	0.00105537	-0.00034743	-6.09372e-05	0.000421462	0.000109581	0.000700602
HG00369	-0.0115262	-0.0217357	-0.011963	-0.02397	0.00101466	0.00188159	9.59378e-05	-0.000457437	0.000252879	0.000765426
HG00371	-0.0120162	-0.0206776	-0.00868931	-0.0188935	0.00297176	8.83892e-06	-0.000935043	0.00509442	0.00162482	0.00220688
HG00372	-0.0116634	-0.0236893	-0.0127114	-0.0224152	0.000978281	0.00220147	0.000517559	-0.0016513	0.000114618	-0.000305268
HG00373	-0.0125747	-0.0205317	-0.00947584	-0.0188421	0.0012261	-0.00133427	0.000491273	0.000825115	0.00234442	0.00143459
HG00375	-0.0125226	-0.0205333	-0.0104582	-0.00759923	0.00164975	0.00262941	0.000382028	0.00197188	0.00018626	-0.000505247
HG00376	-0.0117638	-0.02309	-0.0148718	-0.0237153	0.000761439	-0.000104502	0.00160078	0.000590636	2.90859e-05	-1.71518e-06
HG00378	-0.0105276	-0.0203718	-0.0128175	-0.0030774	0.00109783	0.000880871	0.00064194	0.0035134	-0.000161531	0.00123281
HG00379	-0.0110066	-0.0161689	-0.012145	-0.00579763	-8.57568e-05	-0.00130188	0.00212725	0.00146647	-0.000455498	0.00140928
HG00380	-0.0128105	-0.0190159	-0.01092	-0.00923901	0.00117778	-0.0016269	0.00115247	-0.000929782	0.00208854	0.00229961
HG00381	-0.0125137	-0.0227507	-0.0110452	0.00165176	-0.00128031	0.000148007	0.00384352	-0.00150004	0.00146022	-0.00370526
HG00382	-0.0110793	-0.0231064	-0.011668	-0.0186383	0.0019725	-0.000964904	0.00242532	0.00028721	-0.00138905	0.000532974
HG00383	-0.0114687	-0.0177615	-0.0176891	-0.0225236	0.00141398	0.00154681	-0.00379184	-0.00132342	-0.000251569	-0.00141083
HG00384	-0.011893	-0.0238137	-0.011138	-0.019319	0.00106733	4.07812e-05	-0.00151647	0.0015478	0.00200506	0.00131022
HG00403	-0.0145323	0.0313793	-0.00381943	-0.0171567	0.0002513	-0.00183817	-0.00256939	-0.00131443	-0.00179293	0.00134995
HG00404	-0.0146429	0.0397953	-0.00893751	-0.0166608	-0.00118021	0.000395596	-0.00232357	-0.000136358	-0.00112759	0.000852178
HG00406	-0.0146776	0.0297587	-0.00822955	0.00506853	-0.00102122	-0.000639088	0.00244455	0.000473775	-0.000603221	0.000619372
HG00407	-0.0148285	0.0324717	-0.00408155	-0.00664454	-4.35105e-05	0.00335964	0.000120743	-0.000165508	0.000545038	0.0010884
HG00409	-0.0142413	0.0391268	-0.00962152	-0.016367	0.000654473	-0.00225232	0.00320426	0.0022242	0.00109186	-0.0030047
HG00410	-0.0137915	0.0332567	-0.00635877	-0.000487495	0.00237032	-0.00194504	0.00231715	0.00108714	-0.00350215	-0.00228185
HG00419	-0.0151667	0.035246	-0.00383715	-0.0148831	0.00145411	1.76242e-05	-0.000143771	0.0004197	-0.00203541	-0.000764762
HG00421	-0.0152607	0.0365831	-0.0117333	-0.0163744	-0.00107461	0.00150689	-0.00105736	-0.00486126	-0.0017896	0.00244659
HG00422	-0.0150608	0.0345413	-0.0078458	0.00514213	-0.00227677	-0.00291552	0.00207324	-0.0022407	0.000262345	-1.99834e-05
